元	2622452	0.9946
个	2129255	0.9999
年	1405951	0.9678
家	972760	0.8414
次	895039	0.9934
名	756814	0.9031
条	493849	0.9836
位	454385	0.9313
天	432986	0.8803
种	413319	0.9401
美元	374863	0.8243
号	373468	0.5789
岁	297368	0.9964
项	279609	0.9550
起	256154	0.3452
款	251573	0.7095
件	238771	0.9234
点	226108	0.6140
辆	210852	0.9999
届	208863	0.9947
份	203888	0.9852
批	193022	0.8590
股	173312	0.4095
场	160137	0.8739
吨	159257	0.9999
张	159065	0.7381
只	151972	0.2677
套	151676	0.8425
倍	151004	0.9545
分钟	144730	0.9996
米	139104	0.9075
类	134289	0.3936
分	127774	0.4669
步	125417	0.9428
轮	123357	0.7966
段	114063	0.7362
期	111774	0.5115
公里	109673	0.9999
台	107738	0.6516
块	105776	0.9576
座	86671	0.8523
处	86397	0.2575
平方米	85813	1.0000
系列	85520	0.4168
周	85211	0.6997
层	83267	0.6892
级	81352	0.5404
部	79974	0.5961
句	79181	0.9796
户	76310	0.6572
笔	71076	0.7947
方	69954	0.3881
代	64140	0.5097
篇	64046	0.9190
支	62339	0.8541
亩	58750	0.9999
片	55525	0.6482
批次	54531	0.8715
周年	50195	1.0000
节	50089	0.6430
人次	48522	0.9984
秒	46131	0.9950
平米	42740	1.0000
些	42709	0.9999
组	40789	0.3418
架	39798	0.5849
克	39679	0.8029
mm	37829	0.9999
栋	37525	0.9722
度	37121	0.6017
道	36936	0.3163
斤	34891	0.9865
页	33826	0.8146
把	33137	0.0503
口	33106	0.4259
公斤	33084	0.9997
颗	31886	0.9993
宗	30876	0.9702
GB	30613	1.0000
mg	29740	1.0000
瓶	28876	0.6978
章	28779	0.7285
m	27867	1.0000
欧元	27530	0.6330
折	27005	0.7169
G	26977	0.9994
盒	26538	0.7916
根	25887	0.6953
M	25712	0.9998
桶	23326	0.7146
枚	23109	0.9993
天天	22759	0.8412
盎司	22028	0.9995
ml	21679	0.9998
艘	21182	0.9994
种种	19639	0.9998
$	19415	1.0000
英寸	19083	0.9991
幅	18761	0.9258
立方米	18716	0.9990
首	18206	0.0466
平方	17707	0.9433
毫米	17382	0.9979
层层	16635	0.9825
遍	16399	0.6993
美金	15177	0.9272
幕	14619	0.7356
厘米	14530	0.9986
平方公里	14501	0.9996
袋	12997	0.6180
趟	12660	0.9128
英镑	12654	0.6353
番	12653	0.9510
箱	12489	0.5511
℃	12156	0.9196
周岁	12120	0.6514
寸	11883	0.9884
幢	11591	0.9892
棵	11267	0.9996
cm	9809	1.0000
顿	9415	0.8137
公顷	9384	0.9991
粒	9156	0.6685
堆	9043	0.4936
堂	8272	0.6310
㎡	7849	0.9302
毫克	6985	0.9993
毫升	6832	0.9993
瓦	6311	0.5573
丝	6225	0.4774
微克	5986	0.9985
BP	5845	1.0000
株	5749	0.8730
胎	5495	0.4906
伙	5390	0.8968
韩元	5240	0.9164
册	5223	0.6902
nm	4796	0.9994
马力	4764	0.7186
澳元	4423	0.5685
摄氏度	4085	0.9995
千克	3990	0.9997
阵阵	3915	0.9967
年年	3799	0.7973
美分	3795	0.9637
匹	3725	0.8972
席	3686	0.5913
公分	3483	0.9960
步步	3458	0.8699
英里	3413	1.0000
港元	3401	0.0740
千瓦时	3380	1.0000
滴	3367	0.3419
桌	3339	0.5483
厢	3324	0.5756
尺	3196	0.7310
个个	3060	0.9993
千瓦	3011	1.0000
场次	3005	0.6246
°	2953	0.7444
辈子	2916	0.9848
盆	2861	0.3184
英尺	2854	0.9989
KG	2678	0.9993
￥	2656	1.0000
盏	2628	0.8585
Hz	2620	1.0000
纳米	2496	0.3281
勺	2477	0.7967
车次	2457	0.8237
家家	2415	0.8579
架次	2306	0.9957
加元	2255	0.7262
Mbps	2099	1.0000
磅	1828	0.9218
港币	1822	0.1625
千伏	1721	1.0000
台次	1715	0.9971
辆次	1655	1.0000
立方	1593	0.9129
分分	1591	0.9245
吋	1470	0.9973
克拉	1305	0.9909
毫秒	1205	0.9663
微米	1150	0.9319
雷亚尔	1097	0.9400
泰铢	1087	0.7445
瑞士法郎	891	1.0000
平方英尺	725	1.0000
千米	683	0.9985
兆瓦	680	1.0000
加仑	679	0.9869
平方厘米	396	1.0000
公升	353	1.0000
伏安	313	0.9720
平方毫米	241	1.0000
加拿大元	226	1.0000
立方厘米	224	1.0000
澳门元	215	0.6869
便士	196	0.7778
华里	180	0.9945
安培	174	0.8700
市斤	154	0.9747
越盾	147	0.9363
毫米汞柱	139	0.9929
元／平方米	122	1.0000
平方英里	92	1.0000
