呆	獃
画	畫
龙	龍
板	板
表	表
才	才
丑	醜
出	出
淀	澱
冬	冬
范	範
丰	豐
刮	刮
后	後
胡	胡
回	回
伙	夥
姜	薑
借	借
克	克
困	困
漓	漓
里	里
帘	簾
霉	霉
面	面
蔑	蔑
千	千
秋	秋
松	松
咸	咸
向	向
余	餘
郁	鬱
御	御
愿	願
云	雲
芸	芸
沄	沄
致	致
制	制
朱	朱
筑	築
准	準
厂	廠
广	廣
辟	闢
别	別
卜	卜
沈	沈
冲	沖
种	種
虫	蟲
担	擔
党	黨
斗	鬥
儿	兒
干	乾
谷	谷
柜	櫃
合	合
划	劃
坏	壞
几	幾
系	系
家	家
价	價
据	據
卷	捲
适	適
蜡	蠟
腊	臘
了	了
累	累
么	麽
蒙	蒙
万	萬
宁	寧
朴	樸
苹	蘋
仆	僕
曲	曲
确	確
舍	舍
胜	勝
术	術
台	台
体	體
涂	塗
叶	葉
吁	吁
旋	旋
佣	傭
与	與
折	折
征	徵
症	症
恶	惡
发	發
复	復
汇	匯
获	獲
饥	飢
尽	盡
历	歷
卤	滷
弥	彌
签	簽
纤	纖
苏	蘇
坛	壇
团	團
须	須
脏	臟
只	只
钟	鐘
药	藥
同	同
志	志
杯	杯
岳	岳
布	布
当	當
吊	弔
仇	仇
蕴	蘊
线	線
为	為
产	產
众	眾
伪	偽
凫	鳧
厕	廁
启	啟
墙	牆
壳	殼
奖	獎
妫	媯
并	並
录	錄
悫	愨
极	極
沩	溈
瘘	瘺
硷	鹼
竖	豎
绝	絕
绣	繡
绦	絛
绱	緔
绷	綳
绿	綠
缰	韁
莼	蒓
说	說
谣	謠
谫	譾
赃	贓
赍	齎
赝	贗
酝	醞
采	採
钩	鉤
钵	缽
锈	銹
锐	銳
锨	杴
镌	鐫
镢	钁
阅	閱
颓	頹
颜	顏
骂	罵
鲇	鯰
鲞	鯗
鳄	鱷
鸡	雞
鹚	鶿
荡	盪
锤	錘
㟆	㠏
㛟	𡞵
专	專
业	業
丛	叢
东	東
丝	絲
丢	丟
两	兩
严	嚴
丧	喪
个	個
临	臨
丽	麗
举	舉
义	義
乌	烏
乐	樂
乔	喬
习	習
乡	鄉
书	書
买	買
乱	亂
争	爭
于	於
亏	虧
亚	亞
亩	畝
亲	親
亵	褻
亸	嚲
亿	億
仅	僅
从	從
仑	侖
仓	倉
仪	儀
们	們
优	優
会	會
伛	傴
伞	傘
伟	偉
传	傳
伣	俔
伤	傷
伥	倀
伦	倫
伧	傖
伫	佇
佥	僉
侠	俠
侣	侶
侥	僥
侦	偵
侧	側
侨	僑
侩	儈
侪	儕
侬	儂
俣	俁
俦	儔
俨	儼
俩	倆
俪	儷
俫	倈
俭	儉
债	債
倾	傾
偬	傯
偻	僂
偾	僨
偿	償
傥	儻
傧	儐
储	儲
傩	儺
㑩	儸
兑	兌
兖	兗
兰	蘭
关	關
兴	興
兹	茲
养	養
兽	獸
冁	囅
内	內
冈	岡
册	冊
写	寫
军	軍
农	農
冯	馮
决	決
况	況
冻	凍
净	凈
凉	涼
减	減
凑	湊
凛	凜
凤	鳳
凭	憑
凯	凱
击	擊
凿	鑿
刍	芻
刘	劉
则	則
刚	剛
创	創
删	刪
刬	剗
刭	剄
刹	剎
刽	劊
刿	劌
剀	剴
剂	劑
剐	剮
剑	劍
剥	剝
剧	劇
㓥	劏
㔉	劚
劝	勸
办	辦
务	務
劢	勱
动	動
励	勵
劲	勁
劳	勞
势	勢
勋	勛
勚	勩
匀	勻
匦	匭
匮	匱
区	區
医	醫
华	華
协	協
单	單
卖	賣
卢	盧
卫	衛
却	卻
厅	廳
厉	厲
压	壓
厌	厭
厍	厙
厐	龎
厘	釐
厢	廂
厣	厴
厦	廈
厨	廚
厩	廄
厮	廝
县	縣
叁	叄
参	參
双	雙
变	變
叙	敘
叠	疊
号	號
叹	嘆
叽	嘰
吓	嚇
吕	呂
吗	嗎
吣	唚
吨	噸
听	聽
吴	吳
呐	吶
呒	嘸
呓	囈
呕	嘔
呖	嚦
呗	唄
员	員
呙	咼
呛	嗆
呜	嗚
咏	詠
咙	嚨
咛	嚀
咝	噝
咤	吒
响	響
哑	啞
哒	噠
哓	嘵
哔	嗶
哕	噦
哗	嘩
哙	噲
哜	嚌
哝	噥
哟	喲
唛	嘜
唝	嗊
唠	嘮
唡	啢
唢	嗩
唤	喚
啧	嘖
啬	嗇
啭	囀
啮	嚙
啴	嘽
啸	嘯
㖞	喎
喷	噴
喽	嘍
喾	嚳
嗫	囁
嗳	噯
嘘	噓
嘤	嚶
嘱	囑
㖊	噚
噜	嚕
嚣	囂
园	園
囱	囪
围	圍
囵	圇
国	國
图	圖
圆	圓
圣	聖
圹	壙
场	場
坂	阪
块	塊
坚	堅
坜	壢
坝	壩
坞	塢
坟	墳
坠	墜
垄	壟
垅	壠
垆	壚
垒	壘
垦	墾
垩	堊
垫	墊
垭	埡
垱	壋
垲	塏
垴	堖
埘	塒
埙	塤
埚	堝
埯	垵
堑	塹
堕	墮
𡒄	壈
壮	壯
声	聲
壶	壺
壸	壼
处	處
备	備
够	夠
头	頭
夸	誇
夹	夾
夺	奪
奁	奩
奂	奐
奋	奮
奥	奧
奸	姦
妆	妝
妇	婦
妈	媽
妩	嫵
妪	嫗
姗	姍
姹	奼
娄	婁
娅	婭
娆	嬈
娇	嬌
娈	孌
娱	娛
娲	媧
娴	嫻
婳	嫿
婴	嬰
婵	嬋
婶	嬸
媪	媼
嫒	嬡
嫔	嬪
嫱	嬙
嬷	嬤
孙	孫
学	學
孪	孿
宝	寶
实	實
宠	寵
审	審
宪	憲
宫	宮
宽	寬
宾	賓
寝	寢
对	對
寻	尋
导	導
寿	壽
将	將
尔	爾
尘	塵
尝	嘗
尧	堯
尴	尷
尸	屍
层	層
屃	屓
屉	屜
届	屆
属	屬
屡	屢
屦	屨
屿	嶼
岁	歲
岂	豈
岖	嶇
岗	崗
岘	峴
岙	嶴
岚	嵐
岛	島
岭	嶺
岽	崬
岿	巋
峄	嶧
峡	峽
峣	嶢
峤	嶠
峥	崢
峦	巒
崂	嶗
崃	崍
崄	嶮
崭	嶄
嵘	嶸
嵚	嶔
嵝	嶁
巅	巔
巩	鞏
巯	巰
币	幣
帅	帥
师	師
帏	幃
帐	帳
帜	幟
带	帶
帧	幀
帮	幫
帱	幬
帻	幘
帼	幗
幂	冪
庄	莊
庆	慶
庐	廬
庑	廡
库	庫
应	應
庙	廟
庞	龐
废	廢
廪	廩
开	開
异	異
弃	棄
弑	弒
张	張
弪	弳
弯	彎
弹	彈
强	強
归	歸
彝	彞
彦	彥
彻	徹
径	徑
徕	徠
忆	憶
忏	懺
忧	憂
忾	愾
怀	懷
态	態
怂	慫
怃	憮
怄	慪
怅	悵
怆	愴
怜	憐
总	總
怼	懟
怿	懌
恋	戀
恒	恆
恳	懇
恸	慟
恹	懨
恺	愷
恻	惻
恼	惱
恽	惲
悦	悅
悬	懸
悭	慳
悮	悞
悯	憫
惊	驚
惧	懼
惨	慘
惩	懲
惫	憊
惬	愜
惭	慚
惮	憚
惯	慣
愠	慍
愤	憤
愦	憒
慑	懾
懑	懣
懒	懶
懔	懍
戆	戇
戋	戔
戏	戲
戗	戧
战	戰
戬	戩
户	戶
扑	撲
执	執
扩	擴
扪	捫
扫	掃
扬	揚
扰	擾
抚	撫
抛	拋
抟	摶
抠	摳
抡	掄
抢	搶
护	護
报	報
拟	擬
拢	攏
拣	揀
拥	擁
拦	攔
拧	擰
拨	撥
择	擇
挂	掛
挚	摯
挛	攣
挜	掗
挝	撾
挞	撻
挟	挾
挠	撓
挡	擋
挢	撟
挣	掙
挤	擠
挥	揮
挦	撏
挽	輓
捝	挩
捞	撈
损	損
捡	撿
换	換
捣	搗
掳	擄
掴	摑
掷	擲
掸	撣
掺	摻
掼	摜
揽	攬
揾	搵
揿	撳
搀	攙
搁	擱
搂	摟
搅	攪
携	攜
摄	攝
摅	攄
摆	擺
摇	搖
摈	擯
摊	攤
撄	攖
撑	撐
㧑	撝
撵	攆
撷	擷
撸	擼
撺	攛
㧟	擓
擞	擻
攒	攢
敌	敵
敛	斂
数	數
斋	齋
斓	斕
斩	斬
断	斷
无	無
旧	舊
时	時
旷	曠
旸	暘
昙	曇
昼	晝
昽	曨
显	顯
晋	晉
晒	曬
晓	曉
晔	曄
晕	暈
晖	暉
暂	暫
暧	曖
机	機
杀	殺
杂	雜
权	權
杆	桿
条	條
来	來
杨	楊
杩	榪
杰	傑
构	構
枞	樅
枢	樞
枣	棗
枥	櫪
枧	梘
枨	棖
枪	槍
枫	楓
枭	梟
柠	檸
柽	檉
栀	梔
栅	柵
标	標
栈	棧
栉	櫛
栊	櫳
栋	棟
栌	櫨
栎	櫟
栏	欄
树	樹
栖	棲
栗	慄
样	樣
栾	欒
桠	椏
桡	橈
桢	楨
档	檔
桤	榿
桥	橋
桦	樺
桧	檜
桨	槳
桩	樁
梦	夢
梼	檮
梾	棶
梿	槤
检	檢
棁	梲
棂	欞
椁	槨
椟	櫝
椠	槧
椤	欏
椭	橢
楼	樓
榄	欖
榅	榲
榇	櫬
榈	櫚
榉	櫸
槚	檟
槛	檻
槟	檳
槠	櫧
横	橫
樯	檣
樱	櫻
橥	櫫
橱	櫥
橹	櫓
橼	櫞
檩	檁
欢	歡
欤	歟
欧	歐
歼	殲
殁	歿
殇	殤
残	殘
殒	殞
殓	殮
殚	殫
殡	殯
㱮	殨
㱩	殰
殴	毆
毁	毀
毂	轂
毕	畢
毙	斃
毡	氈
毵	毿
氇	氌
气	氣
氢	氫
氩	氬
氲	氳
汉	漢
汤	湯
汹	洶
沟	溝
没	沒
沣	灃
沤	漚
沥	瀝
沦	淪
沧	滄
沪	滬
泞	濘
注	註
泪	淚
泶	澩
泷	瀧
泸	瀘
泺	濼
泻	瀉
泼	潑
泽	澤
泾	涇
洁	潔
洒	灑
洼	窪
浃	浹
浅	淺
浆	漿
浇	澆
浈	湞
浊	濁
测	測
浍	澮
济	濟
浏	瀏
浐	滻
浑	渾
浒	滸
浓	濃
浔	潯
涛	濤
涝	澇
涞	淶
涟	漣
涠	潿
涡	渦
涣	渙
涤	滌
润	潤
涧	澗
涨	漲
涩	澀
渊	淵
渌	淥
渍	漬
渎	瀆
渐	漸
渑	澠
渔	漁
渖	瀋
渗	滲
温	溫
湾	灣
湿	濕
溃	潰
溅	濺
溆	漵
滗	潷
滚	滾
滞	滯
滟	灧
滠	灄
满	滿
滢	瀅
滤	濾
滥	濫
滦	灤
滨	濱
滩	灘
滪	澦
漤	灠
潆	瀠
潇	瀟
潋	瀲
潍	濰
潜	潛
潴	瀦
澜	瀾
濑	瀨
濒	瀕
㲿	瀇
灏	灝
灭	滅
灯	燈
灵	靈
灶	竈
灾	災
灿	燦
炀	煬
炉	爐
炖	燉
炜	煒
炝	熗
点	點
炼	煉
炽	熾
烁	爍
烂	爛
烃	烴
烛	燭
烟	煙
烦	煩
烧	燒
烨	燁
烩	燴
烫	燙
烬	燼
热	熱
焕	煥
焖	燜
焘	燾
㶽	煱
煴	熅
㶶	燶
爱	愛
爷	爺
牍	牘
牦	氂
牵	牽
牺	犧
犊	犢
状	狀
犷	獷
犸	獁
犹	猶
狈	狽
狝	獮
狞	獰
独	獨
狭	狹
狮	獅
狯	獪
狰	猙
狱	獄
狲	猻
猃	獫
猎	獵
猕	獼
猡	玀
猪	豬
猫	貓
猬	蝟
献	獻
獭	獺
㺍	獱
玑	璣
玚	瑒
玛	瑪
玮	瑋
环	環
现	現
玱	瑲
玺	璽
珐	琺
珑	瓏
珰	璫
珲	琿
琏	璉
琐	瑣
琼	瓊
瑶	瑤
瑷	璦
璎	瓔
瓒	瓚
瓯	甌
电	電
畅	暢
畴	疇
疖	癤
疗	療
疟	瘧
疠	癘
疡	瘍
疬	癧
