FIFA世界杯	世足
U盘	隨身碟
《加勒比海盗》	《神鬼奇航》
《当幸福来敲门》	《追求快樂》
《摔跤吧！爸爸》	《我咊我的冠軍女兒》
《泰坦尼克号》	《鐵達尼號》
《火的战车》	《火戰車》
《盗梦空间》	《全面啟動》
《碟中谍》	《不可能的任務》
《神奇动物在哪里》	《恠物咊牠的產地》
《罗马假日》	《金枝玉葉》
《肖申克的救赎》	《刺激1995》
《荒野猎人》	《神鬼獵人》
《这个杀手不太冷》	《終極追殺令》
《釜山行》	《屍速列車》
《音乐之声》	《真善美》
一伙	一伙
一冲	一衝
一准	一准
一出	一齣
一划	一划
一发千钧	一髮千鈞
一只	一隻
一台	一臺
一地里	一地裡
一干	一干
一并	一併
一树百获	一樹百穫
一次性筷子	免洗筷
七只	七隻
万卷	萬卷
万历	萬曆
万只	萬隻
三元里	三元裡
三只	三隻
三国志	三國誌
三复	三複
三文鱼	鮭魚
三极管	三極體
上台	上臺
上吊	上吊
上网包月套餐	上網喫到飽
下不了台	下不了臺
下台	下臺
下面	下麵
不准	不准
不吊	不吊
不知就里	不知就裡
不知所云	不知所云
不锈钢	不鏽鋼
丑剧	丑劇
丑旦	丑旦
丑角	丑角
专业	科系
东岳	東嶽
东征	東征
丝布	絲布
丝来线去	絲來線去
丝板	絲板
丝瓜布	絲瓜布
丝线	絲線
丝织厂	絲織廠
丝绒布	絲絨布
丝虫	絲蟲
两只	兩隻
严丝合缝	嚴絲合縫
严复	嚴複
个里	個裡
中华一番	中華小當家
中台医专	中臺醫專
中岳	中嶽
丰南	丰南
丰台	丰台
丰姿	丰姿
丰富多采	豐富多采
丰滨	豐濱
丰滨乡	豐濱鄉
丰采	豐采
丰韵	丰韻
串行	串列
为着	為著
主干	主幹
主管	課長
么么唱唱	么么唱唱
么儿	么兒
么喝	么喝
么妹	么妹
么弟	么弟
么爷	么爺
乌兹别克斯坦	烏茲別克
乌发	烏髮
乌干达	烏干達
乌苏里江	烏蘇裡江
乌龙面	烏龍麵
乍得	查德
乒乓球	槕毬
九世之雠	九世之讎
九只	九隻
也门	葉門
习用	慣用
乡愿	鄉愿
乡里	鄉裡
书卷	書卷
乱发	亂髮
了如	瞭如
了望	瞭望
了然	瞭然
了若指掌	瞭若指掌
了解	瞭解
二手车	中古車
二极管	二極體
云云	云云
云尔	云爾
云须	雲鬚
互聊网	網際網路
五出	五齣
五只	五隻
五岳	五嶽
五斗柜	五斗櫃
五斗橱	五斗櫥
五行生克	五行生剋
五谷	五穀
交互式	互動式
交卷	交卷
亲征	親征
人云亦云	人云亦云
人工智能	人工智慧
人物志	人物誌
亿只	億隻
什么	什麼
什锦面	什錦麵
仆倒	仆倒
介系词	介繫詞
从里到外	從裡到外
从里向外	從裡向外
以太网	乙太網
仪表	儀錶
任意球	自由球
仿制	仿製
仿真	模擬
伏加白	豪格登
优先级	優先順序
伙伕	伙伕
伙伴	伙伴
伙同	伙同
伙夫	伙夫
伙房	伙房
伙计	伙計
伙食	伙食
会干	會幹
会里	會裡
传布	傳佈
传感	感測
传统风味	古早味
伯利兹	貝里斯
位图	點陣圖
住房	住屋
佐治亚	喬治亞
体育锻鍊	体育鍛鍊
何干	何干
佛得角	維德角
佛罗伦萨	翡冷翠
作准	作准
佣人	佣人
佣工	佣工
佣金	佣金
使命召唤	決勝時刻
例程	常式
供制	供製
依依不舍	依依不捨
侯赛因	海珊
侵并	侵併
便携式	攜帶型
便辟	便辟
保险柜	保險柜
信号台	信號臺
信息论	資訊理論
信道	通道
修复	修複
修胡刀	修鬍刀
俯冲	俯衝
借以	藉以
借借	藉藉
借口	藉口
借故	藉故
借机	藉機
借此	藉此
借由	藉由
借着	藉著
借端	藉端
借词	藉詞
借资	藉資
借酒浇愁	藉酒澆愁
债台高筑	債臺高築
倾复	傾覆
倾家荡产	傾家蕩產
假发	假髮
停制	停製
偷鸡不着	偷雞不著
傻里傻气	傻裡傻氣
僱佣	僱佣
允准	允准
元音	母音
兄台	兄臺
充值卡	儲值卡
充饥	充饑
光标	游標
光盘	光碟
光采	光采
光驱	光碟機
克制	剋制
克复	克複
克星	剋星
克服	剋服
克林顿	柯林頓
克死	剋死
克罗地亚	克羅埃西亞
克薄	剋薄
克里	克裡
入伙	入伙
入球	進球
全角	全形
八只	八隻
八字胡	八字鬍
公交车	公車巴士
公历	公曆
公布	公佈
公干	公幹
公斗	公斗
六出	六齣
六只	六隻
兰博基尼	藍寶堅尼
关系	關係
关系着	關係著
兴致	興緻
兴高采烈	興高采烈
兼并	兼併
内制	內製
冈比亚	甘比亞
写保护	防寫
写字台	寫字臺
农历	農曆
冤雠	冤讎
冬冬	鼕鼕
冰淇淋	吧噗
冰球	曲棍毬
冲上	衝上
冲下	衝下
冲倒	衝倒
冲克	衝剋
冲冲	衝衝
冲决	衝決
冲出	衝出
冲击	衝擊
冲到	衝到
冲刺	衝刺
冲力	衝力
冲动	衝動
冲劲	衝勁
冲压	衝壓
冲去	衝去
冲口	衝口
冲垮	衝垮
冲堂	衝堂
冲天	衝天
冲掉	衝掉
冲撞	衝撞
冲散	衝散
冲来	衝來
冲浪	衝浪
冲激	衝激
冲着	衝著
冲破	衝破
冲程	衝程
冲突	衝突
冲线	衝線
冲要	衝要
冲起	衝起
冲过	衝過
冲进	衝進
冲锋	衝鋒
准予	准予
准假	准假
准将	准將
准考证	准考證
准许	准許
凉凉	帶賽
凉菜	冷盤
凉面	涼麵
凑合着	湊合著
几丝	幾絲
几内亚比绍	幾內亞比索
几几	几几
几出	幾齣
几只	幾隻
几案	几案
凡高	梵谷
凭借	憑藉
凭借着	憑藉著
凭吊	憑吊
凹洞里	凹洞裡
出征	出征
出租车	計程車
出锤	出鎚
刀削面	刀削麵
刁斗	刁斗
分布	分佈
分布式	分散式
分辨率	解析度
切面	切麵
刊布	刊佈
划上	划上
划下	划下
划不来	划不來
划了	划了
划具	划具
划出	划出
划到	划到
划动	划動
划去	划去
划子	划子
划得来	划得來
划拳	划拳
划桨	划槳
划水	划水
划着	划著
划着走	划著走
划算	划算
划船	划船
划艇	划艇
划行	划行
划走	划走
划起	划起
划过	划過
划进	划進
列支敦士登	列支敦斯登
刚才	剛纔
创制	創製
创可贴	ok綳
初中	國中
初征	初征
利口酒	蒸餾酒
利比里亚	利比裡亞
利比里亚	賴比瑞亞
别只	別隻
别扭	彆扭
别拗	彆拗
别气	彆氣
别着	彆著
别脚	彆腳
别致	別緻
刮了	颳了
刮倒	颳倒
刮去	颳去
刮得	颳得
刮着	颳著
刮胡刀	刮鬍刀
刮走	颳走
刮起	颳起
刮风	颳風
制为	製為
制件	製件
制作	製作
制做	製做
制冰	製冰
制冷	製冷
制剂	製劑
制品	製品
制图	製圖
制备	製備
制成	製成
制法	製法
制片	製片
制版	製版
制盐	製鹽
制程	製程
制糖	製糖
制纸	製紙
制药	製藥
制表	製表
制裁	製裁
制造	製造
制革	製革
制鞋	製鞋
刺客信条	刺客教條
剃发	剃髮
剃须	剃鬚
削发	削髮
前仆后继	前仆後繼
前台	前臺
前车之复	前車之覆
剑勇传说	九龍珠
剪发	剪髮
割舍	割捨
办伙	辦伙
办公台	辦公檯
加时赛	延長賽
加纳	迦納
加蓬	加彭
加载	載入
加里宁	加裡寧
动荡	動蕩
劳力士表	勞力士錶
勒布朗·詹姆斯	雷覇龍·詹姆士
包准	包准
包谷	包穀
北回	北迴
匡复	匡複
匪干	匪幹
医药	醫葯
十出	十齣
十卷	十卷
十只	十隻
十台	十臺
千与千寻	神隱少女
千丝万缕	千絲萬縷
千只	千隻
千回百折	千迴百折
千回百转	千迴百轉
千钧一发	千鈞一髮
升斗小民	升斗小民
半只	半隻
半角	半形
华发	華髮
华里	華裡
单反相机	單眼相機
单只	單隻
单干	單干
单身狗	穩單
南台	南臺
南回	南迴
南岳	南嶽
南征	南征
博客	部落格
博茨瓦纳	波札那
卡塔尔	卡達
卡梅隆	卡楳倫
卡里	卡裡
卢旺达	盧安達
卤制	滷製
卤化	鹵化
卤味	鹵味
卤族	鹵族
卤水	鹵水
卤汁	鹵汁
卤簿	鹵簿
卤素	鹵素
卤莽	鹵莽
卤钝	鹵鈍
卤面	滷麵
卫生	衛生
卫生巾	衛生棉
印制	印製
印表机	打印機
危地马拉	瓜地馬拉
卷云	卷雲
卷入	卷入
卷发	卷髮
卷取	卷取
卷土重来	卷土重來
卷子	卷子
卷宗	卷宗
卷尺	卷尺
卷层云	卷層雲
卷帙	卷帙
卷扬机	卷揚機
卷曲	卷曲
卷染	卷染
卷烟	卷煙
卷筒	卷筒
卷纬	卷緯
卷绕	卷繞
卷装	卷裝
卷轴	卷軸
卷须	卷鬚
卷领	卷領
厄瓜多尔	厄瓜多
厄立特里亚	厄利垂亞
历书	曆書
历数	曆數
历法	曆法
原件	正體
县志	縣誌
县里	縣裡
参与	參與
参与人员	參與人員
参与制	參與制
参与感	參與感
参与者	參與者
参合	參合
参考价值	參考價值
参观团	參觀團
参观团体	參觀團體
参阅	參閱
双折	雙摺
反冲	反衝
反复	反覆
发丝	髮絲
发型	髮型
发夹	髮夾
发妻	髮妻
发姐	髮姐
发布	發佈
发帖	po文
发带	髮帶
发廊	髮廊
发式	髮式
发指	髮指
发捲	髮捲
发根	髮根
发毛	髮毛
发油	髮油
发状	髮狀
发着	發著
发短心长	髮短心長
发端	髮端
发结	髮結
发网	髮網
发肤	髮膚
发胶	髮膠
发菜	髮菜
发蜡	髮蠟
发辫	髮辮
发针	髮針
发长	髮長
发际	髮際
发霉	發黴
发霜	髮霜
发面	發麵
发髻	髮髻
发鬓	髮鬢
取舍	取捨
受众	客羣
变量	變數
叙说着	敘說著
口里	口裡
古墓丽影	古墓奇兵
只冲	只衝
只准	只准
只字	隻字
只影	隻影
只手遮天	隻手遮天
只眼	隻眼
只言片语	隻言片語
只身	隻身
叮当	叮噹
可怜虫	可憐虫
可紧可松	可緊可鬆
台上	臺上
台下	臺下
台东	臺東
台中	臺中
台制	台製
台北	臺北
台南	臺南
台地	臺地
台塑	臺塑
台大	臺大
台子	檯子
台币	臺幣
台布	檯布
台座	臺座
台柱	臺柱
台榭	臺榭
台汽	臺汽
台海	臺海
台湾	臺灣
台澎金马	臺澎金馬
台灯	臺燈
台球	撞毬
台球	臺球
台电	臺電
台省	臺省
台端	臺端
台糖	臺糖
台肥	臺肥
台航	臺航
台视	臺視
台词	臺詞
台车	臺車
台铁	臺鐵
台阶	臺階
台面	臺面
台风	颱風
号志	號誌
司令台	司令臺
吁求	籲求
吁请	籲請
吃着不尽	吃著不盡
吃里扒外	吃裡扒外
吃里爬外	吃裡爬外
各吊	各吊
合伙	合伙
合并	合併
合着	合著
合着者	合著者
合金装备	潛龍諜影
吉布提	吉布地
吊上	吊上
吊下	吊下
吊个	吊個
吊了	吊了
吊儿郎当	吊兒郎當
吊到	吊到
吊去	吊去
吊取	吊取
吊吊	吊吊
吊嗓	吊嗓
吊好	吊好
吊子	吊子
吊带	吊帶
吊带裤	吊帶褲
吊床	吊床
吊得	吊得
吊挂	吊掛
吊挂着	吊掛著
吊杆	吊桿
吊架	吊架
吊桥	吊橋
吊桶	吊桶
吊死	吊死
吊灯	吊燈
吊环	吊環
吊盘	吊盤
吊着	吊著
吊索	吊索
吊袜	吊襪
吊装	吊裝
吊裤	吊褲
吊裤带	吊褲帶
吊走	吊走
吊起	吊起
吊车	吊車
吊钟	吊鐘
吊钩	吊鉤
吊销	吊銷
同伙	同伙
名表	名錶
后冠	后冠
后台	後臺
后土	后土
后妃	后妃
后座	后座
后稷	后稷
后羿	后羿
后里	后里
向导	嚮導
向应	嚮應
向往	嚮往
向日	嚮日
向着	向著
向迩	嚮邇
吕后	呂后
吞并	吞併
吹发	吹髮
周而复始	周而複始
呼吁	呼籲
和面	和麵
咸卤	鹹鹵
咸味	鹹味
咸咸	鹹鹹
咸土	鹹土
咸度	鹹度
咸得	鹹得
咸水	鹹水
咸汤	鹹湯
咸海	鹹海
咸淡	鹹淡
咸湖	鹹湖
咸猪肉	鹹豬肉
咸的	鹹的
咸类	鹹類
咸肉	鹹肉
咸菜	鹹菜
咸蛋	鹹蛋
咸鱼	鹹魚
咸鸭蛋	鹹鴨蛋
哈萨克斯坦	哈薩克
哥斯达黎加	哥斯大黎加
哪里	哪裡
哭脏	哭髒
唠嗑	打屁
喝采	喝采
喷子	痠民
嘴里	嘴裡
噜苏	嚕囌
噪声	雜訊
四出	四齣
四只	四隻
四舍五入	四捨五入
四驱兄弟	暴走兄弟
回丝	回絲
回光返照	迴光返照
回向	迴向
回响	迴響
回圈	迴圈
回复	回覆
回廊	迴廊
回形夹	迴形夾
回文	迴文
回旋	迴旋
回流	迴流
回环	迴環
回着	回著
回纹针	迴紋針
回绕	迴繞
回肠	迴腸
回荡	迴蕩
回诵	迴誦
回路	迴路
回转	迴轉
回递性	迴遞性
回避	迴避
回采	回采
回风	迴風
回首	迴首
因特网	網際網路
团子	糰子
园里	園裡
困乏	睏乏
国历	國曆
国民生产总值	國民生產毛額
国际象棋	西洋棊
国雠	國讎
图标	圖示
图瓦卢	吐瓦魯
图里	圖裡
圆珠笔	原子筆
圆白菜	高麗菜
圈子里	圈子裡
圈里	圈裡
土制	土製
土库曼斯坦	土庫曼
土豆	馬鈴薯
土豆	馬鈴藷
土豆片	洋芋片
土里	土裡
圣卢西亚	聖露西亞
圣基茨和尼维斯	聖克里斯多福及尼維斯
圣文森特和格林纳丁斯	聖文森及格瑞那丁
圣马力诺	聖馬利諾
圭亚那	蓋亞那
地志	地誌
地铁	捷運
坍台	坍臺
坑里	坑裡
坛坛罐罐	罈罈罐罐
坛子	罈子
坦桑尼亚	坦尚尼亞
坦荡	坦蕩
垂发	垂髮
垄断价格	壟斷價格
垄断资产	壟斷資產
垄断集团	壟斷集團
垦复	墾複
垮台	垮臺
埃塞俄比亚	衣索比亞
埋布	埋佈
城里	城裡
基干	基幹
基诺·里维斯	基努·李維
基里巴斯	吉里巴斯
塌台	塌臺
塑料瓶	寶特缾
塔台	塔臺
塔吉克斯坦	塔吉克
塞拉利昂	獅子山
塞浦路斯	塞普勒斯
塞舌尔	塞席爾
墓志	墓誌
墨斗	墨斗
墨索里尼	墨索裡尼
墨鱼	芲枝
声卡	音效卡
壳里	殼裡
壶里	壺裡
复上	覆上
复习	複習
复亡	覆亡
复亩珍	複畝珍
复仞年如	複仞年如
复以百万	複以百萬
复位	複位
复住	覆住
复信	覆信
复兴社	複興社
复写	複寫
复决	複決
复分数	複分數
复列	複列
复利	複利
复制	複製
复印	複印
复原	複原
复发	複發
复变函数	複變函數
复句	複句
复叶	複葉
复合	複合
复名	複名
复员	複員
复命	覆命
复在	覆在
复壁	複壁
复壮	複壯
复复	複復
复姓	複姓
复字键	複字鍵
复审	覆審
复巢之下	覆巢之下
复式	複式
复成	覆成
复数	複數
复文	覆文
复旧	複舊
复本	複本
复杂	複雜
复查	複查
复校	覆校
复核	覆核
复检	複檢
复次	複次
复比	複比
复水难收	覆水難收
复没	覆沒
复活	複活
复测	複測
复灭	覆滅
复电	覆電
复盆	覆盆
复盖	覆蓋
复盖着	覆蓋著
复目	複目
复眼	複眼
复着	覆著
复种	複種
复线	複線
复舟	覆舟
复色	複色
复苏	複蘇
复议	覆議
复诊	複診
复词	複詞
复试	覆試
复课	複課
复败	覆敗
复赛	複賽
复车	覆車
复载	覆載
复辙	覆轍
复辟	復辟
复述	複述
复选	複選
复钱	複錢
复雠	復讎
复音	複音
复韵	複韻
夏历	夏曆
夏天里	夏天裡
外制	外製
外援	洋將
多么	多麼
多冲	多衝
多米尼加	多明尼加
多米尼加联邦	多米尼克
多选题	復選題
多采多姿	多采多姿
夜光表	夜光錶
夜校	夜学
夜里	夜裡
大众	福士
大众	福斯
大伙	大伙
大卫·贝克汉姆	大衛碧咸
大卷	大卷
大只	大隻
大干	大幹
大锤	大鎚
天后	天后
天干	天干
天文台	天文臺
天翻地复	天翻地覆
太后	太后
头发	頭髮
头球	頭槌
头里	頭裡
奏折	奏摺
奔驰	賓士
奖杯	獎盃
奥巴马	歐巴馬
奥特曼	超人力覇王
女丑	女丑
女佣	女佣
奶酪	乳酪
好家夥	好傢夥
好戏连台	好戲連臺
如法泡制	如法泡製
妆台	妝臺
妈逼	尬電
姜丝	姜絲
姜太公	姜太公
姜子牙	姜子牙
字号	字型大小
字库	字型檔
字段	欄位
字汇	字彙
字符	字元
字节	位元組
字里行间	字裡行間
存折	存摺
存盘	存檔
孟姜女	孟姜女
孤岛惊魂	極地戰嚎
宇宙志	宇宙誌
守望先锋	鬥陣特攻
安提瓜和巴布达	安地卡及巴布達
宏观经济	總量經濟
定准	定准
定制	定製
实干	實幹
宠物小精灵	神奇寶貝
宣布	宣佈
宫里	宮裡
家伙	家伙
家俱	傢俱
家具	傢具
家里	家裡
宽带	寬頻
宽松	寬鬆
密布	密佈
寇雠	寇讎
对表	對錶
寻址	定址
寿面	壽麵
封面里	封面裡
射干	射干
尊尼获加	強尼走路
小丑	小丑
小伙	小伙
小只	小隻
小黄人	小小兵
少吊	少吊
少管所	輔育院
尺布斗粟	尺布斗粟
尼克松	尼克鬆
尼日利亚	奈及利亞
尼日尔	尼日
尼采	尼采
尽先	儘先
尽其所有	儘其所有
尽力	儘力
尽尽	儘儘
尽快	儘快
尽早	儘早
尽是	儘是
尽管	儘管
尽速	儘速
尽量	儘量
尾注	章節附註
尿斗	尿斗
局域网	區域網
局里	局裡
居里	居裡
屋子里	屋子裡
屋里	屋裡
屏蔽	遮罩
展布	展佈
屡仆屡起	屢仆屢起
屯里	屯裡
山岳	山嶽
山里	山裡
峰回	峰迴
巡回	巡迴
工作日历	行事歷
巧干	巧幹
巨商	鉅賈
巴尔干	巴爾幹
巴巴多斯	巴貝多
巴布亚新几内亚	巴布亞紐幾內亞
巴里	巴裡
巷里	巷裡
市场团队	行銷團隊
市里	市裡
布下	佈下
布什	布希
布告	佈告
布哨	佈哨
布基纳法索	布吉納法索
布局	佈局
布岗	佈崗
布施	佈施
布景	佈景
布满	佈滿
布线	佈線
布置	佈置
布署	佈署
布谷	布穀
布达	佈達
布道	佈道
布防	佈防
布阵	佈陣
布隆迪	蒲隆地
布雷	佈雷
希特勒	希特拉
希腊	希腊
帕劳	帛琉
帘子	帘子
帘布	帘布
带发修行	帶髮修行
带团参加	帶團參加
席卷	席卷
帮助文件	說明檔案
干上	幹上
干下去	幹下去
干与	干與
干丝	乾絲
干个	幹個
干么	幹麼
干了	幹了
干事	幹事
干些	幹些
干休	干休
干劲	幹勁
干卿何事	干卿何事
干吗	幹嗎
干员	幹員
干嘛	幹嘛
干坏事	幹壞事
干完	幹完
干将	干將
干得	幹得
干性油	幹性油
干戈	干戈
干才	幹才
干扰	干擾
干挠	干撓
干掉	幹掉
干支	干支
干政	干政
干时	干時
干校	幹校
干活	幹活
干流	幹流
干涉	干涉
干犯	干犯
干球温度	幹球溫度
干着急	干著急
干系	干係
干线	幹線
干练	幹練
干警	幹警
干贝	干貝
干起来	幹起來
干路	幹路
干道	幹道
干部	幹部
干预	干預
平台	平臺
年会	尾牙
年历	年曆
年度总结	年度檢討
年里	年裡
并为	併為
并入	併入
并列	併列
并到	併到
并发	併發
并合	併合
并吞	併吞
并在	併在
并存着	並存著
并成	併成
并拢	併攏
并排	併排
并案	併案
并科	併科
并购	併購
并进	併進
幼儿园	幼稺園
庄里	莊裡
底里	底裡
庙里	廟裡
康采恩	康采恩
建台	建臺
开伙	開伙
开卷	開卷
开诚布公	開誠佈公
开采	開采
异步	非同步
弄脏	弄髒
弔卷	弔卷
弘历	弘曆
弥漫	瀰漫
弥漫着	瀰漫著
弹子台	彈子檯
弹药	彈葯
归并	歸併
当啷	噹啷
当当	噹噹
当着	當著
录像	錄影
录制	錄製
录着	錄著
形单影只	形單影隻
影后	影后
往复	往複
往里	往裡
征伐	征伐
征兵	征兵
征发	征發
征夫	征夫
征尘	征塵
征战	征戰
征收	征收
征服	征服
征求	征求
征衣	征衣
征讨	征討
征途	征途
御侮	禦侮
御寇	禦寇
御寒	禦寒
御敌	禦敵
微观经济	個體經濟
德干高原	德干高原
心愿	心愿
心荡神驰	心蕩神馳
心里	心裡
志哀	誌哀
志喜	誌喜
志庆	誌慶
忙里	忙裡
忧郁	憂郁
快冲	快衝
快干	快幹
快闪存储器	快閃記憶體
怀表	懷錶
怀里	懷裡
怎么	怎麼
怎么着	怎麼著
怒发冲冠	怒髮衝冠
怒喷	灣家
急冲而下	急衝而下
怪里怪气	怪裡怪氣
总监	協理
总线	匯流排
怼	嗆聲
恋恋不舍	戀戀不捨
恩准	恩准
恶心	噁心
悉尼	雪棃
悬吊	懸吊
情有所钟	情有所鍾
意大利	義大利
意面	意麵
慌里慌张	慌裡慌張
慰借	慰藉
戏台	戲臺
戛纳	埳市
戴安娜	黛安娜
戴表	戴錶
户口本	戶口名簿
戽斗	戽斗
房价	屋价
房里	房裡
所罗门群岛	索羅門群島
手不释卷	手不釋卷
手卷	手卷
手折	手摺
手松	手鬆
手电	手電筒
手表	手錶
手里	手裡
才干	才幹
才高八斗	才高八斗
打印	列印
打印机	印表機
打游戏	打電動
打谷	打穀
打门	射門
托管班	安親班
扞御	扞禦
扫瞄仪	掃瞄器
扫荡	掃蕩
批准	批准
批复	批覆
承制	承製
抗御	抗禦
折冲	折衝
折叠	摺疊
折合	摺合
折奏	摺奏
折子	摺子
折尺	摺尺
折扇	摺扇
折梯	摺梯
折椅	摺椅
折痕	摺痕
折篷	摺篷
折纸	摺紙
折裙	摺裙
护发	護髮
报复	報複
披发	披髮
披复	披覆
抱朴	抱朴
抵御	抵禦
担仔面	擔仔麵
担担面	擔擔麵
担着	擔著
担负着	擔負著
拆伙	拆伙
拆台	拆臺
拈须	拈鬚
拉纤	拉縴
拉面	拉麵
拖吊	拖吊
拗别	拗彆
括号	括弧
拮据	拮据
拿破仑	拿破崙
挂帘	掛帘
挂科	當掉
挂面	掛麵
振荡	振蕩
捍御	捍禦
换发	換髮
