万	萬
与	與
丐	匃
丑	醜
专	專
世	乫
业	榠
丛	叢
东	東
丝	絲
两	兩
严	嚴
丧	喪
个	個
丰	豷
临	舝
为	為
丽	麗
举	舉
乃	廼
么	麽
义	義
乌	烏
乐	樂
乔	喬
乘	乗
习	習
乡	鄉
书	書
买	賗
乱	亂
争	爭
亏	虧
云	雲
亘	亙
亚	亞
产	産
亩	畝
亲	觝
亵	襝
亿	億
仅	僪
仆	僿
仇	讎
从	従
仑	侖
仓	倉
仙	僲
仪	儀
们	們
价	價
仿	倣
众	衆
优	優
伙	夥
会	會
伛	傴
伞	傘
伟	偉
传	傳
伡	俥
伤	傷
伥	倀
伦	倫
伧	傖
伪	偽
伫	佇
似	佀
体	軆
你	妳
佣	傭
佥	僱
佩	珮
侄	姪
侉	唀
侠	俠
侥	僥
侦	偵
侧	側
侨	僺
侩	儈
侪	儕
侬	儂
侯	矦
俊	儁
俦	儔
俨	儼
俩	倆
俪	儷
俭	儉
俯	頫
倘	償
倦	勌
债	債
倾	僡
假	叚
偬	傯
偷	媢
偻	僥
偾	僨
傥	儻
傧	儐
储	儲
傩	儺
傫	儽
傻	儍
僵	殭
儿	兒
克	剋
兔	兎
党	黨
兜	兠
兰	蘭
关	阷
兴	興
养	餬
兽	玣
冁	囅
冈	岡
冉	冄
冒	冐
写	冩
军	軍
农	農
冢	塿
冤	寃
冯	駎
冱	泎
冲	衝
况	況
冻	凍
净	凈
凄	渄
凝	聹
凤	鴓
凫	鴌
凭	剅
凯	刾
凳	櫈
击	撃
函	圅
凿	鑿
刃	剈
刍	芻
刖	蛂
刘	劉
则	則
刚	剛
创	創
删	刪
刨	鉫
刬	剗
刭	剄
刽	劊
刿	劌
剀	剴
剁	刴
剂	劑
剃	髰
剐	剮
剑	劍
剧	劇
剽	勡
剿	勦
劝	勸
办	辦
务	務
劢	勱
动	動
劫	刼
劭	卲
励	勵
劲	勁
劳	勞
势	勢
勋	勛
勖	勗
匆	恠
匝	帀
匦	卶
匮	卼
区	區
医	醫
华	萢
协	協
单	單
卖	賣
卜	蕁
卢	眗
卤	漟
卧	舙
卫	衛
卮	巵
卯	夘
厂	弒
厄	戹
厅	廳
历	歷
厉	厲
压	壓
厌	厭
厍	厙
厕	廁
厘	釐
厣	厴
厨	弉
厩	廄
县	縣
叁	參
参	參
叆	靉
双	雙
发	發
变	變
叙	敘
叠	曡
叩	敂
只	隻
叶	葉
号	號
叹	嘆
叽	嘰
吃	喫
吊	弔
吓	嚇
吗	嗎
吝	恡
吟	唫
吣	吢
吨	噸
听	聽
启	啓
吻	脀
呃	呝
呆	獃
呓	囈
呕	噄
呖	嚦
呗	唄
员	唗
呛	嗆
呜	嗚
呲	齜
呼	噁
和	咊
咏	詠
咒	呪
咙	嚨
咛	嚀
咝	噝
咩	哶
咬	齩
咱	喒
咿	吚
响	響
哑	啞
哒	噠
哓	嘵
哔	嗶
哕	噦
哗	噖
哙	噲
哜	嚌
哝	噥
哟	喲
哲	喆
唇	脣
唛	噊
唠	噝
唢	嗩
唣	唕
啃	齦
啖	啗
啧	噆
啬	嗇
啭	囀
啮	噛
啸	噕
啼	嗁
喂	餧
喋	啑
喷	噴
喽	嘾
喾	嚳
嗥	噑
嗫	囁
嗳	噯
嘤	嚶
嘱	囑
嘲	謿
嘻	譆
噜	嚕
噪	喿
嚣	嚻
回	迴
团	坒
园	園
围	圍
囵	圇
国	國
图	坉
圆	坅
圣	聖
圬	杇
圭	珪
圹	壙
场	場
址	阯
坏	壞
块	塳
坚	堅
坛	壇
坜	壢
坝	壩
坟	墳
坠	墜
坤	堃
垄	壟
垆	壚
垒	壘
垛	垜
垦	墾
垩	惡
垫	墊
垭	埡
垲	塶
垴	堖
埙	塤
埚	堝
堑	塹
堕	墮
堙	陻
