乗	乘
乫	世
乲	并
亂	乱
亙	亘
亞	亚
亱	夜
亷	廉
佀	似
佇	伫
佪	徊
來	来
侖	仑
俠	侠
俥	伡
俲	效
俽	欣
倀	伥
倆	俩
倉	仓
個	个
們	们
倣	仿彷
倫	伦
倸	睬
偉	伟
偪	逼
側	侧
偵	侦
偽	伪
傑	杰
傓	煽
傖	伧
傘	伞
備	备
傭	佣
傯	偬
傳	传
傴	伛
債	债
傷	伤
僡	惠倾
僥	偻侥
僨	偾
僪	仅
僱	雇佥
僲	仙
價	价
僺	侨
僿	仆塞
儀	仪
儁	俊
儂	侬
億	亿
儈	侩
儉	俭
儍	傻
儐	傧
儔	俦
儕	侪
儗	拟
儘	尽
償	倘
優	优
儲	储
儷	俪
儺	傩
儻	傥
儼	俨
儽	傫
兎	兔
兒	儿
兠	兜
兩	两
冄	冉
冐	冒
冩	写
凈	净
凍	冻
刪	删
刴	剁
刼	劫
刾	凯
剄	刭
剅	凭
則	则
剈	刃
剋	克
剗	刬
剛	刚
剠	黥
剮	剐
剴	剀
創	创
剹	戮
劇	剧
劉	刘
劊	刽
劌	刿
劍	剑
劑	剂
勁	劲
勅	敕
勌	倦
動	动
勗	勖
務	务
勛	勋
勝	胜
勞	劳
勡	剽
勢	势
勦	剿
勱	劢
勵	励
勸	劝
匃	丐
匮	柜
區	区
協	协
卲	劭
卶	匦
卹	汇恤
卼	匮
厙	厍
厭	厌
厲	厉
厴	厣
參	参叁
収	收
叚	假徦
叡	睿
叢	丛
吚	咿
吢	吣
呝	呃
呪	咒
咊	和
哶	咩
唀	侉
唄	呗
唕	唣
唗	员
唫	吟
問	问
啑	喋
啓	启
啗	啖
啞	哑
喆	哲
喒	咱
喪	丧
喫	吃
喬	乔
單	单
喲	哟
喿	噪
嗁	啼
嗆	呛
嗇	啬
嗎	吗
嗚	呜
嗩	唢
嗶	哔
嘆	叹
嘰	叽
嘵	哓
嘾	喽
嘿	默
噁	呼
噄	呕
噆	啧
噇	尝
噊	唛
噑	嗥
噕	啸
噖	哗
噛	啮
噝	唠咝
噠	哒
噥	哝
噦	哕
噯	嗳
噲	哙
噴	喷
噸	吨
嚀	咛
嚇	吓
嚌	哜
嚕	噜
嚦	呖
嚨	咙
嚳	喾
嚴	严
嚶	嘤
嚻	嚣
囀	啭
囁	嗫
囅	冁
囈	呓
囑	嘱
圅	函
圇	囵
國	国
圌	篅
圍	围
園	园
坅	圆
坉	图
坒	团
坿	附
垜	垛
埡	垭
執	执
堃	坤
堅	坚
堖	垴
堘	塍
堝	埚
堯	尧
報	报
場	场
塤	埙
塳	块
塴	茔
塵	尘
塶	垲
塹	堑
塿	冢
墊	垫
墖	塔
墜	坠
墪	墩
墮	堕
墳	坟
墾	垦
壆	学
壇	坛
壓	压
壘	垒
壙	圹
壚	垆
壞	坏
壟	垄
壢	坜
壩	坝
壯	壮
壺	壶
壻	婿
壼	壸
壽	寿
夘	卯
夢	梦
夥	伙
奘	葬
奮	奋
奱	袷夹
妀	奂
妜	奖
妝	奁妆
妟	夺
妬	妒
妳	你
姉	姊
姍	姗
姙	妊
姦	奸
姪	侄
姸	妍
婁	娄
媋	姻
媎	妇
媔	娅
媢	偷
媧	娲
媽	妈
嫗	妪
嫵	妩
嫻	娴
嬀	妫
嬈	娆
嬋	婵
嬌	娇
嬡	嫒
嬪	嫔
嬭	奶
嬰	婴
嬸	婶
孃	娘
孿	孪
宑	阱
宒	恋娈
宱	孙
寃	冤
寊	孽
寍	宁
寢	寝
實	实
審	审
寬	宽
寰	宪
寳	宝
寵	宠
將	将
專	专
尋	寻
對	对
導	导
尷	尴
屜	屉
層	层
屨	屦
屬	属
岡	冈
峩	峨
峯	峰
峴	岘
島	岛
峽	峡
崍	崃
崕	崖
崗	岗
崧	嵩
嵐	岚
嵠	溪
嶁	嵝
嶄	崭
嶇	岖
嶔	嵚
嶗	崂
嶠	峤
嶽	岳
巀	截
巉	峄
巋	岿
巒	峦
巓	巅
巖	岩
巗	岙
巚	嵘
巟	岭
巣	屿
巰	巯
巵	卮
帀	匝
帥	帅
師	师
帬	裙
帳	帐
帶	带
幃	帏
幗	帼
幘	帻
幙	幕
幟	帜
幣	币
幫	帮
幬	帱
庫	库
庻	庶
廁	厕
廄	厩
廬	庐
廳	厅
廵	巡
廼	乃
弉	厨
弐	庙
弒	厂
弔	吊庑怃
弖	废
弙	广
弳	弪
張	张
強	强
彈	弹
彌	弥
彎	弯
彜	彝
徑	径
従	从
徠	徕
復	复
徹	彻
忼	慷
怺	恿
恆	恒
恠	匆怪
恡	吝
恥	耻恍
悵	怅
悶	闷
惏	婪
惡	垩恶
惪	德
惲	恽
惷	蠢
惻	恻
愙	恪
愛	爱
愜	惬
愨	悫
愴	怆
愷	恺
愾	忾
慮	虑
慳	悭
慴	慑态
慶	庆
慾	欲
慿	惨
憁	惭
憂	忧
憅	恸
憇	憩
憈	惯
憊	惫
憏	怄
憐	怜怂
憒	愦
憚	惮
憜	惰
憞	憝
憤	愤
憫	悯
憶	忆
懇	恳
應	应
懌	怿
懟	怼
懣	懑
懲	惩
懶	懒
懷	怀
懸	悬
懺	忏
懼	惧
戔	戋
戞	戛
戧	戗
戩	戬
戰	战
戲	戏
戹	厄
抜	捍
拓	摭
拕	拖
挱	挲
挾	挟
挿	插
捄	救
捨	舍
捫	扪
捵	抻
掃	扫
掄	抡
掛	挂
採	采
揀	拣
揫	揪
揮	挥
搃	捏
損	损扬
搗	捣
搤	扼
搥	捶
搧	扇
搶	抢
摀	捂
摃	扛
摑	掴
摜	掼
摟	搂
摣	揸
摳	抠
摶	抟
摺	折
摻	掺
撃	击
撈	捞
撓	挠
撟	挢
撡	操
撣	掸
撥	拨
撦	扯
撲	扑
撳	揿
撹	搅
撻	挞
撾	挝
撿	捡检
擁	拥
擄	掳
擇	择
擋	挡
擔	担
據	据
擺	摆
擻	擞
擼	撸
擾	扰
攄	挤摅
攅	抬攒
攆	撵
攏	拢
攑	摈
攓	拧
攔	搁拦
攕	掷
攖	撄
攗	扩
攙	搀
攛	撺撷
攜	携
攝	摄
攡	摛
攣	挛
攤	摊
攬	揽
敂	叩
敗	败
敘	叙
敵	敌
數	数
斂	敛
斃	毙
斎	斋
斕	斓
斬	斩
斷	断
斻	杭
昬	昏
時	时
晉	晋
晝	昼
晳	晰
暁	晓
暈	晕
暉	晖
暎	映
暘	昫
暢	畅
暫	暂
暱	昵
曄	晔
曇	昙
曖	暧
曠	旷
曡	叠
曬	晒
書	书
會	会
朶	朵
杇	圬
杛	望
杤	胧
東	东
枏	楠
枴	拐
柁	舵
柹	柿
栢	柏
栰	筏
梔	栀
梘	杯枧
條	条
梟	枭
梡	柳
棃	梨
棄	弃
棖	枨
棗	枣
棟	栋
棧	栈
棲	栖
棹	桌
椏	桠
椶	棕
楊	杨
楓	枫
榗	楦
榘	矩
榚	桢
榠	业
榤	梅
榦	极
榪	杩
榮	荣
榿	桤
槀	槁
槈	耨
構	构
槍	枪
槓	杠
様	样
槧	椠
槨	椁
槩	概
槳	桨
樁	桩
樂	乐
樅	枞
樑	梁
樓	楼
標	标
樝	楂
樞	枢
権	权
樹	树
樺	桦
橈	桡
橋	桥
橕	撑
橜	橛
檆	机
檉	柽
檔	档
檜	桧
檣	樯
檮	梼
檳	槟
檸	柠
檻	槛
檾	苘
櫂	棹
櫈	凳
櫓	橹
櫛	栉
櫝	椟
櫞	橼
櫟	栎
櫧	槠
櫨	栌
櫪	枥
櫬	榇
櫱	蘖
櫳	栊
櫸	榉
櫻	樱
欄	栏
欏	椤
欒	栾
欖	榄
歟	款欤
歡	欢
歫	钦
歲	岁
歷	历
歸	归
殘	残
殞	殒
殤	殇
殫	殚
殭	僵
殮	殓
殯	殡
殲	歼
殺	杀
殻	壳
毆	殴
毿	毵
氊	毡
氌	氇
氣	气
氫	氢
氬	氩
汙	污
沲	沱
況	况
泎	冱
泝	溯
洩	泄
洶	汹
浹	浃
涇	泾
涖	莅
涙	泪
淺	浅
渄	凄
渟	沦
渢	沨
測	测渊
渮	涞
渾	浑
湞	浈
湧	涌
湯	汤
湻	淳
溈	沩
溝	沟
滄	沧
滅	灭
滌	涤
滎	荥
滛	淫
滬	沪
滯	滞
漚	沤
漛	渗
漟	卤
漡	浒
漣	浐涟
漨	满
漬	渍
漮	渔
漲	涨
漸	渐
漿	浆
潄	漱
潑	泼
潔	洁
潛	潜
潤	润
潯	浔
潰	溃
潿	涠
澀	涩
澂	澄
澆	浇
澇	涝
澐	泇
澗	涧
澘	潸
澣	浣
澤	泽
澩	泶
澮	浍
濁	浊
濃	浓
濄	涡
濕	湿
濘	泞
濟	济
濤	涛
瀅	滢
瀆	渎
瀉	泻
瀍	滥
瀎	浚
瀏	浏
