k他	盘他
ok綳	创可贴
po文	发帖
《不可能的任務》	《碟中谍》
《全面啟動》	《盗梦空间》
《刺激1995》	《肖申克的救赎》
《屍速列車》	《釜山行》
《恠物咊牠的產地》	《神奇动物在哪里》
《我咊我的冠軍女兒》	《摔跤吧！爸爸》
《火戰車》	《火的战车》
《真善美》	《音乐之声》
《神鬼奇航》	《加勒比海盗》
《神鬼獵人》	《荒野猎人》
《終極追殺令》	《这个杀手不太冷》
《追求快樂》	《当幸福来敲门》
《金枝玉葉》	《罗马假日》
《鐵達尼號》	《泰坦尼克号》
三極管	三极管
三極體	三极管
三聯畫	三联画
上網喫到飽	上网包月套餐
世足	FIFA世界杯
中古車	二手车
中國畫	中国画
中樂	民乐
中華小當家	中华一番
串列	串行
乙太網	以太网
九龍珠	剑勇传说
也門	也门
乳酪	奶酪
乾坤	乾坤
乾隆	乾隆
二極管	二极管
二極體	二极管
互動式	交互式
互聯網	因特网
五筆畫	五笔画
亞塞拜然	阿塞拜疆
人工智慧	人工智能
介面	接口
伯利茲	伯利兹
伺服器	服务器
位元組	字节
作畫	作画
便當	盒饭
個體經濟	微观经济
優先順序	优先级
優格	酸奶
儲值卡	充值卡
儲值卡	点卡
光碟	光盘
光碟機	光驱
克林頓	克林顿
克羅地亞	克罗地亚
克羅埃西亞	克罗地亚
免洗筷	一次性筷子
入畫	入画
全形	全角
公車	公交车
公車巴士	公交车
共用	共享
冷盤	凉菜
冷菜	凉菜
分散式	分布式
列印	打印
列支敦斯登	列支敦士登
利比里亞	利比里亚
刺客教條	刺客信条
刻畫	刻画
功能變數名稱	域名
加彭	加蓬
加納	加纳
動畫	动画
勾畫	勾画
北韓	朝鲜
匯流排	总线
區域網	局域网
十趴	百分之十
千里達托貝哥	特立尼达和托巴哥
半形	半角
华乐	民乐
協理	总监
南韓	韩国
博茨瓦納	博茨瓦纳
卡佩雅蒂	珍妮弗·卡普里亚蒂
卡塔爾	卡塔尔
卡楳倫	卡梅隆
卡通畫	卡通画
卡達	卡塔尔
印表機	打印机
危地馬拉	危地马拉
即溶咖啡	速溶咖啡
即食麵	方便面
厄利垂亞	厄立特里亚
厄瓜多	厄瓜多尔
厄瓜多爾	厄瓜多尔
厄立特里亞	厄立特里亚
原po	楼主
原子小金剛	铁臂阿童木
原子筆	圆珠笔
原畫	原画
去光水	洗甲水
口鹼	口碱
古堡惡靈	生化危机
古墓奇兵	古墓丽影
古早味	传统风味
古畫	古画
史嘉蕾·喬韓森	斯嘉丽·约翰逊
史瓦濟蘭	斯威士兰
吉布地	吉布提
吉布堤	吉布提
吉里巴斯	基里巴斯
名畫	名画
吐瓦魯	图瓦卢
吧噗	冰淇淋
哈拉	聊天
哈薩克	哈萨克斯坦
哥斯大黎加	哥斯达黎加
哥斯達黎加	哥斯达黎加
哦伊哦伊	救护车
喬治亞	乔治亚
單眼相機	单反相机
單色畫	单色画
單車	自行车
嗆聲	怼
因數	因子
國中	初中
國文	语文
國民生產毛額	国民生产总值
國畫	国画
國術	武术
圖瓦盧	图瓦卢
圖畫	图画
圖示	图标
土庫曼	土库曼斯坦
土荳	花生
土著	土著
圭亞那	圭亚那
坦尚尼亞	坦桑尼亚
坦桑尼亞	坦桑尼亚
埃塞俄比亞	埃塞俄比亚
埳市	戛纳
基努·李維	基诺·里维斯
塔吉克	塔吉克斯坦
塞席爾	塞舌尔
塞普勒斯	塞浦路斯
塞舌爾	塞舌尔
壁畫	壁画
士多啤梨	草莓
多明尼加	多米尼加
多明尼加共和國	多米尼加
多明尼加聯邦	多米尼加联邦
多米尼克	多米尼加联邦
夜学	夜校
大衛碧咸	大卫·贝克汉姆
太空梭	航天飞机
奇畫	奇画
奈及利亞	尼日利亚
如畫	如画
字元	字符
字型大小	字号
字型檔	字库
字畫	字画
字節	字节
存檔	存盘
宅配	送货上门
安地卡及巴布達	安提瓜和巴布达
安提瓜和巴布達	安提瓜和巴布达
安親班	托管班
宏都拉斯	洪都拉斯
宕機	死机
定址	寻址
客羣	受众
宣傳畫	宣传画
富豪	沃尔沃
寫生畫	写生画
寬頻	宽带
寮國	老挝
寶特缾	塑料瓶
寶獅	标志
寶獅	标致
射門	打门
專案排程表	项目计划表
小小兵	小黄人
尚比亞	赞比亚
尬電	妈逼
尼日	尼日尔
尼日利亞	尼日利亚
尼日爾	尼日尔
尾牙	年会
屋价	房价
岡比亞	冈比亚
川普	特朗普
工筆畫	工笔画
巨集	宏
巴布亞新畿內亞	巴布亚新几内亚
巴布亞紐幾內亞	巴布亚新几内亚
巴貝多	巴巴多斯
布吉納法索	布基纳法索
布基納法索	布基纳法索
布希	布什
布殊	布什
希拉	赫拉
希特拉	希特勒
希臘	希腊
帛琉	帕劳
帶賽	凉凉
